20 2491117.71700 .07882 100.00000 0
40 2480500.61700 .14131 99.85800 0
60 2472013.95100 .20100 99.50900 .00700
80 1978690.86000 .20493 99.52000 .03600
100 1664438.00300 .21615 99.47900 .02500
