    0 	     1
    1 	     1
    2 	     1
    3 	     1
    4 	     3
    5 	     1
    6 	     3
    7 	     1
    8 	     1
    9 	     1
   10 	     3
   11 	     9
   12 	     9
   13 	     1
   14 	     3
   15 	     1
   16 	     3
   17 	     5
   18 	     1
   19 	    11
   20 	     5
   21 	     7
   22 	     1
   23 	     1
   24 	     9
   25 	     1
   26 	     3
   27 	    17
   28 	     1
   29 	     3
   30 	     1
   31 	    25
   32 	     3
   33 	     1
   34 	     3
   35 	    27
   36 	     3
   37 	     1
   38 	    29
   39 	     5
   40 	     1
   41 	     5
   42 	    31
   43 	     5
   44 	     3
   45 	     7
   46 	    12
   47 	    39
   48 	     3
   49 	     7
   50 	    12
   51 	    47
   52 	     1
   53 	     7
   54 	    14
   55 	     1
   56 	     3
   57 	     1
   58 	    16
   59 	     1
   60 	     1
   61 	    16
   62 	     3
   63 	     1
   64 	     3
   65 	     3
   66 	     3
   67 	     1
   68 	     3
   69 	     1
   70 	     3
   71 	     9
   72 	    24
   73 	     9
   74 	     3
   75 	     9
   76 	    17
   77 	     1
   78 	     1
   79 	     9
   80 	     1
   81 	    24
   82 	     1
   83 	    17
   84 	     9
   85 	    32
   86 	     1
   87 	    17
   88 	    25
   89 	    25
   90 	     1
   91 	     1
   92 	     1
   93 	     1
   94 	     3
   95 	    17
   96 	     9
   97 	    32
   98 	     3
   99 	     1
  100 	     1
  101 	     1
  102 	     1
  103 	     1
  104 	    17
  105 	    11
  106 	    32
  107 	     3
  108 	    19
  109 	    40
  110 	    25
  111 	     9
  112 	     3
  113 	    25
  114 	    27
  115 	     1
  116 	    40
  117 	    25
  118 	    11
  119 	     1
  120 	     1
  121 	    25
  122 	    13
  123 	     3
  124 	     1
  125 	     3
  126 	    27
  127 	    15
  128 	    27
  129 	     3
  130 	    29
  131 	     3
  132 	     5
  133 	     1
  134 	    37
  135 	     1
  136 	     9
  137 	    35
  138 	     3
  139 	    12
  140 	    45
  141 	     5
  142 	     3
  143 	    12
  144 	     9
  145 	    45
  146 	     3
  147 	     9
  148 	    14
  149 	     1
  150 	     3
  151 	    11
  152 	    37
  153 	    14
  154 	     1
  155 	     1
  156 	     1
  157 	    16
  158 	     5
  159 	     1
  160 	     5
  161 	    45
  162 	    16
  163 	     1
  164 	     1
  165 	     1
  166 	     1
  167 	     1
  168 	     1
  169 	    16
  170 	    16
  171 	    24
  172 	     1
  173 	     3
  174 	    47
  175 	     3
  176 	    18
  177 	     3
  178 	     7
  179 	     3
  180 	     9
  181 	     7
  182 	    32
  183 	    18
  184 	     9
  185 	    16
  186 	    34
  187 	     3
  188 	     1
  189 	     3
  190 	    16
  191 	    55
  192 	    20
  193 	    63
  194 	     1
  195 	    34
  196 	    18
  197 	     7
  198 	     3
  199 	     1
  200 	    22
  201 	     9
  202 	    15
  203 	    26
  204 	     9
  205 	    63
  206 	     1
  207 	     9
  208 	    30
  209 	    17
  210 	    26
  211 	    11
  212 	     1
  213 	     1
  214 	    28
  215 	     1
  216 	     1
  217 	    65
  218 	     3
  219 	    17
  220 	     1
  221 	     3
  222 	    30
  223 	     5
  224 	     1
  225 	     1
  226 	     5
  227 	     3
  228 	    30
  229 	    12
  230 	    17
  231 	    73
  232 	     1
  233 	     3
  234 	     9
  235 	    38
  236 	     1
  237 	     9
  238 	     9
  239 	     3
  240 	     9
  241 	    38
  242 	     1
  243 	     1
  244 	    11
  245 	     9
  246 	    40
  247 	     3
  248 	     1
  249 	     9
  250 	    11
  251 	    48
  252 	     3
  253 	    48
  254 	    19
  255 	     9
  256 	    17
  257 	     1
  258 	     1
  259 	    56
  260 	    26
  261 	     9
  262 	     9
  263 	    64
  264 	    28
  265 	     1
  266 	     3
  267 	    19
  268 	     3
  269 	    66
  270 	     1
  271 	    11
  272 	     3
  273 	     5
  274 	     2
  275 	     3
  276 	     5
  277 	     1
  278 	     9
  279 	     9
  280 	    12
  281 	     3
  282 	     6
  283 	    19
  284 	    17
  285 	     5
  286 	    12
  287 	    25
  288 	    12
  289 	     1
  290 	     1
  291 	     1
  292 	    21
  293 	    27
  294 	    14
  295 	     7
  296 	     1
  297 	    29
  298 	    14
  299 	    21
  300 	     3
  301 	     3
  302 	     3
  303 	    37
  304 	     9
  305 	    14
  306 	     3
  307 	    29
  308 	    15
  309 	    45
  310 	     3
  311 	    14
  312 	    45
  313 	    11
  314 	     1
  315 	    14
  316 	     3
  317 	     5
  318 	    47
  319 	    15
  320 	     1
  321 	    49
  322 	     3
  323 	     5
  324 	     1
  325 	     5
  326 	    13
  327 	    57
  328 	    21
  329 	     1
  330 	    12
  331 	    15
  332 	    57
  333 	    12
  334 	     9
  335 	     1
  336 	    65
  337 	    23
  338 	     3
  339 	    14
  340 	    11
  341 	    67
  342 	     1
  343 	     1
  344 	     3
  345 	    69
  346 	     1
  347 	    23
  348 	    16
  349 	    13
  350 	    23
  351 	    69
  352 	     1
  353 	     1
  354 	    24
  355 	    13
  356 	    77
  357 	     1
  358 	    25
  359 	    77
  360 	     3
  361 	     3
  362 	    26
  363 	     9
  364 	    21
  365 	     1
  366 	    79
  367 	     3
  368 	    21
  369 	    28
  370 	     3
  371 	    81
  372 	    27
  373 	    27
  374 	     3
  375 	    89
  376 	    36
  377 	     3
  378 	    21
  379 	    89
  380 	     3
  381 	     1
  382 	    27
  383 	    38
  384 	    91
  385 	    21
  386 	     3
  387 	    93
  388 	     5
  389 	     3
  390 	    21
  391 	     1
  392 	    29
  393 	    95
  394 	     7
  395 	    11
  396 	    19
  397 	    95
  398 	     9
  399 	    37
  400 	    15
  401 	     1
  402 	    29
  403 	   103
  404 	    23
  405 	    11
  406 	    37
  407 	   103
  408 	     1
  409 	     3
  410 	    25
  411 	   105
  412 	    13
  413 	    25
  414 	     3
  415 	    39
  416 	     5
  417 	   107
  418 	    27
  419 	    15
  420 	    39
  421 	   115
  422 	    23
  423 	    12
  424 	    27
  425 	     3
  426 	   123
  427 	    31
  428 	    41
  429 	    14
  430 	    59
  431 	     1
  432 	     5
  433 	    33
  434 	    59
  435 	    43
  436 	     1
  437 	     7
  438 	    14
  439 	    61
  440 	    35
  441 	     1
  442 	     1
  443 	     3
  444 	    13
  445 	    69
  446 	    43
  447 	     3
  448 	    22
  449 	    43
  450 	    21
  451 	    77
  452 	     3
  453 	    45
  454 	     1
  455 	    24
  456 	    79
  457 	     1
  458 	    47
  459 	     3
  460 	    15
  461 	     1
  462 	     1
  463 	    26
  464 	    49
